symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count
BCHTUSD;-4,60000000;-1,932;234,81570841;237,60000000;233,50000000;0,99200000;234,00000000;0,21400000;234,30000000;0,78300000;238,10000000;242,60000000;228,90000000;287,41300000;67489,08720000;2024-01-04 22:12:04.236;2024-01-05 22:12:04.236;646589;647384;796
BCHPAX;0,00000000;0,000;0,00000000;617,72000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
BCHBUSD;2,30000000;0,984;234,05785646;233,40000000;236,00000000;1,08700000;0,00000000;0,00000000;0,00000000;0,00000000;233,70000000;237,20000000;229,60000000;259,04800000;60632,21960000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;17924815;17924901;87
BTCRUB;-53923,00000000;-1,380;3856884,88922810;3917907,00000000;3853616,00000000;0,00004000;3853437,00000000;0,00008000;3854808,00000000;0,00007000;3907539,00000000;3946826,00000000;3773078,00000000;2,87925000;11104935,81731000;2024-01-04 22:12:04.294;2024-01-05 22:12:04.294;8238736;8246727;7992
ETHRUB;0,00000000;0,000;0,00000000;181477,60000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
XRPRUB;0,00000000;0,000;0,00000000;56,31000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
BNBRUB;0,00000000;0,000;0,00000000;22422,22000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
TROYBNB;0,00000000;0,000;0,00000000;0,00001060;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
TROYBTC;0,00000000;0,000;0,00000000;0,00000018;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
TROYUSDT;-0,00008600;-3,548;0,00235232;0,00242600;0,00233800;1267,00000000;0,00233800;28835,00000000;0,00233900;21414,00000000;0,00242400;0,00243900;0,00228700;440705694,00000000;1036679,91933700;2024-01-04 22:12:05.659;2024-01-05 22:12:05.659;32967221;32975044;7824
